,year,state,month,number,date
126,2004,Acre,7,42.0,2004-01-01
127,2005,Acre,7,368.0,2005-01-01
128,2006,Acre,7,33.0,2006-01-01
129,2007,Acre,7,29.0,2007-01-01
130,2008,Acre,7,41.0,2008-01-01
131,2009,Acre,7,31.0,2009-01-01
132,2010,Acre,7,126.0,2010-01-01
133,2011,Acre,7,93.0,2011-01-01
134,2012,Acre,7,71.0,2012-01-01
135,2013,Acre,7,54.0,2013-01-01
136,2014,Acre,7,60.0,2014-01-01
137,2015,Acre,7,109.0,2015-01-01
138,2016,Acre,7,533.0,2016-01-01
139,2017,Acre,7,457.0,2017-01-01
140,1998,Acre,8,130.0,1998-01-01
141,1999,Acre,8,63.0,1999-01-01
142,2000,Acre,8,136.0,2000-01-01
143,2001,Acre,8,396.0,2001-01-01
144,2002,Acre,8,728.0,2002-01-01
145,2003,Acre,8,1.976,2003-01-01
146,2004,Acre,8,645.0,2004-01-01
147,2005,Acre,8,4.198,2005-01-01
148,2006,Acre,8,839.0,2006-01-01
149,2007,Acre,8,960.0,2007-01-01
150,2008,Acre,8,445.0,2008-01-01
151,2009,Acre,8,194.0,2009-01-01
152,2010,Acre,8,1.682,2010-01-01
153,2011,Acre,8,425.0,2011-01-01
154,2012,Acre,8,739.0,2012-01-01
155,2013,Acre,8,679.0,2013-01-01
156,2014,Acre,8,1.1,2014-01-01
157,2015,Acre,8,1.3969999999999998,2015-01-01
158,2016,Acre,8,2.188,2016-01-01
159,2017,Acre,8,1.493,2017-01-01
160,1998,Acre,9,509.0,1998-01-01
161,1999,Acre,9,209.0,1999-01-01
162,2000,Acre,9,265.0,2000-01-01
163,2001,Acre,9,290.0,2001-01-01
164,2002,Acre,9,1.949,2002-01-01
165,2003,Acre,9,3.9419999999999997,2003-01-01
166,2004,Acre,9,1.9780000000000002,2004-01-01
167,2005,Acre,9,4.253,2005-01-01
168,2006,Acre,9,2.37,2006-01-01
169,2007,Acre,9,2.08,2007-01-01
170,2008,Acre,9,1.666,2008-01-01
171,2009,Acre,9,1.265,2009-01-01
172,2010,Acre,9,2.531,2010-01-01
173,2011,Acre,9,1.204,2011-01-01
174,2012,Acre,9,1.996,2012-01-01
175,2013,Acre,9,2.136,2013-01-01
176,2014,Acre,9,2.175,2014-01-01
177,2015,Acre,9,2.928,2015-01-01
178,2016,Acre,9,3.5860000000000003,2016-01-01
179,2017,Acre,9,3.429,2017-01-01
180,1998,Acre,10,44.0,1998-01-01
181,1999,Acre,10,60.0,1999-01-01
182,2000,Acre,10,18.0,2000-01-01
183,2001,Acre,10,137.0,2001-01-01
184,2002,Acre,10,687.0,2002-01-01
185,2003,Acre,10,740.0,2003-01-01
186,2004,Acre,10,461.0,2004-01-01
187,2005,Acre,10,547.0,2005-01-01
188,2006,Acre,10,316.0,2006-01-01
189,2007,Acre,10,203.0,2007-01-01
190,2008,Acre,10,652.0,2008-01-01
191,2009,Acre,10,565.0,2009-01-01
192,2010,Acre,10,292.0,2010-01-01
193,2011,Acre,10,97.0,2011-01-01
194,2012,Acre,10,348.0,2012-01-01
195,2013,Acre,10,258.0,2013-01-01
196,2014,Acre,10,406.0,2014-01-01
197,2015,Acre,10,905.0,2015-01-01
198,2016,Acre,10,509.0,2016-01-01
199,2017,Acre,10,1.508,2017-01-01
200,1998,Acre,11,0.0,1998-01-01
201,1999,Acre,11,0.0,1999-01-01
202,2000,Acre,11,0.0,2000-01-01
203,2001,Acre,11,1.0,2001-01-01
204,2002,Acre,11,86.0,2002-01-01
205,2003,Acre,11,15.0,2003-01-01
206,2004,Acre,11,10.0,2004-01-01
207,2005,Acre,11,14.0,2005-01-01
208,2006,Acre,11,18.0,2006-01-01
209,2007,Acre,11,7.0,2007-01-01
210,2008,Acre,11,4.0,2008-01-01
211,2009,Acre,11,33.0,2009-01-01
212,2010,Acre,11,39.0,2010-01-01
213,2011,Acre,11,74.0,2011-01-01
214,2012,Acre,11,13.0,2012-01-01
215,2013,Acre,11,79.0,2013-01-01
216,2014,Acre,11,56.0,2014-01-01
217,2015,Acre,11,115.0,2015-01-01
218,2016,Acre,11,46.0,2016-01-01
219,2017,Acre,11,98.0,2017-01-01
220,1998,Acre,12,7.0,1998-01-01
221,1999,Acre,12,0.0,1999-01-01
222,2000,Acre,12,0.0,2000-01-01
223,2001,Acre,12,0.0,2001-01-01
224,2002,Acre,12,1.0,2002-01-01
225,2003,Acre,12,1.0,2003-01-01
226,2004,Acre,12,7.0,2004-01-01
227,2005,Acre,12,2.0,2005-01-01
228,2006,Acre,12,0.0,2006-01-01
229,2007,Acre,12,0.0,2007-01-01
230,2008,Acre,12,0.0,2008-01-01
231,2009,Acre,12,1.0,2009-01-01
232,2010,Acre,12,0.0,2010-01-01
233,2011,Acre,12,4.0,2011-01-01
234,2012,Acre,12,1.0,2012-01-01
235,2013,Acre,12,3.0,2013-01-01
236,2014,Acre,12,6.0,2014-01-01
237,2015,Acre,12,8.0,2015-01-01
238,2016,Acre,12,6.0,2016-01-01
